Distributor,Producer,Title,Place,Region,Country,Grape,Vintage,Price,Type,Code,Score,BTG,Bottle,Notes
~~ WHITE ~~,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Sauvignon Blanc,,,,,,,,,,,,,,
Chambers,Henri Bourgeois,La Chantereine,Cheverny,Loire,France,Sauvignon Blanc/Chardonnay,2016,14,White,HBG180,91,,,
Chambers,Easton,Monarch Mine Vineyard,Sierra Foothills,California,USA,Sauvignon Blanc/Chardonnay,2017,14,White,EST240,91,,,
Chambers,Piocho,Happy Canyon Vineyard,Santa Barbara,California,USA,Sauvignon Blanc/Semillon,2017,16,White,HCV240,93,,3,
Revel,Land Of Saints,,Santa Barbara,California,USA,Sauvignon Blanc,2018,13.33,White,,,1,,
Revel,Cep,Hopkins Vineyard,Russian River Valley,California,USA,Sauvignon Blanc,2018,16,White,,91,,,
Winebow,Textbook,,Napa,California,USA,Sauvignon Blanc,2018,14,White,TXTSBC18C,92,,4,
Winebow,Ghost Block,MorgaenLee,Napa,California,USA,Sauvignon Blanc,2017,15.33,White,GBKSBC17C,91,,,
,,,,,,,,,,,,,,
Chablis,,,,,,,,,,,,,,
Chambers,Barat,Chablis,Chablis,Chablis,France,Chardonnay,2016,18,White,BRT100,90,,,
Chambers,Brocard,Sainte Claire,Chablis,Chablis,France,Chardonnay,2017,18.33,White,BCD110,90,,5,
,,,,,,,,,,,,,,
Chardonnay,,,,,,,,,,,,,,
Chambers,Uliz,La Combe,Bourgogne,Burgundy,France,Chardonnay,2015,22,White,ULZ100,91,,6,
Chambers,Chappellet,Chardonnay,Napa,California,USA,Chardonnay,2016,24.67,White,CPL100,93,,,
Chambers,Failla,Keefer Ranch,Russian River Valley,California,USA,Chardonnay,2016,24,White,FLJ100,93,,,
Chambers,Failla,Haynes Vineyard,Coombsville,California,USA,Chardonnay,2016,40,White,FLJ160,95,,,
Chambers,Foxen,Block UU Bien Nacido Vineyard,Santa Maria,California,USA,Chardonnay,2016,24,White,FXN120,94,,7,
Chambers,Hilt by Jonata,Old Guard,Sta Rita Hills,California,USA,Chardonnay,2015,38,White,HLT110,95,,,
Chambers,La Follette,Sun Chase Vineyard,Sonoma Coast,California,USA,Chardonnay,2016,33,White,FLT140,94,,,
Chambers,Liquid Farm,White Hill,Sta Rita Hills,California,USA,Chardonnay,2016,29,White,LQF100,94,,,
Chambers,Mail Road,Mt Carmel,Sta Rita Hills,California,USA,Chardonnay,2014,70,White,MRW100,95,,8,
Chambers,Brick House,Estate,Ribbon Ridge,Oregon,USA,Chardonnay,2015,20,White,BRC110,91,,,
Revel,Ceritas,Trout Gulch,Santa Cruz,California,USA,Chardonnay,2017,22.75,White,,90,,,
Revel,Luuma,Petaluma Gap,Sonoma Coast,California,USA,Chardonnay,2017,13.83,White,,,4,,
Revel,Scar of the Sea,Sauvignon Blanc County,Santa Barbara,California,USA,Chardonnay,2016,21.16,White,,91,,,
Revel,Land of Saints,Sauvignon Blanc County,Santa Barbara,California,USA,Chardonnay,2016,13.33,White,,91,,,
Winebow,Joullian,Monterey,Monterey,California,USA,Chardonnay,2016,15.83,White,JOUCMY16C,89,,,
Winebow,Hahn,SLH ,Santa Lucia Highlands,California,USA,Chardonnay,2017,18.67,White,HFYCSH17C,89,,,
Winebow,Annabella,,Napa,California,USA,Chardonnay,2016,12.5,White,ANBCHY16C,91,6,,
Skurnik,Michel Barraud,Les Pierres Dorées Vieilles Vignes,Macon-Villages,Burgundy,France,Chardonnay,2017,12,White,FR-MBD-01-17,88,,,
,,,,,,,,,,,,,,
Gruner,,,,,,,,,,,,,,
Skurnik,Hirsch,Kamptal Grüner Veltliner Hirschvergnügen,,Kamptal,Austria,Gruner Veltliner,2016,14,White,AT-HRS-01-16,92,,,
Skurnik,Hiedler,Grüner Veltliner Löss,,,Austria,Gruner Veltliner,2017,15,White,AT-HDL-01-17,91,,,
Skurnik,Nigl,Freiheit,,Kremstal,Austria,Gruner Veltliner,2017,14,White,AT-NGL-01-17,92,,1,
,,,,,,,,,,,,,,
Riesling,,,,,,,,,,,,,,
Skurnik,Hiedler,Urgestein,,,Austria,Riesling,2015,13.33,White,AT-HDL-21-15,91,,2,
Skurnik,Donnhoff,Estate,,Nahe,Germany,Riesling,2016,15,White,DE-DHF-20-16,90,,2.5,
Skurnik,Egon Muller,Riesling Vom Basalt Pechstein Kabinett,,Pfalz,Germany,Riesling,2015,12,White,DE-EMU-30-15,88,,,
Skurnik,Georg Breur,Riesling Rauenthal Estate Trocken (O),,Rheingau,Germany,Riesling,2014,12,White,DE-GBR-11-14,88,,,
Revel,Ravines,Estate Dry,Finger Lakes,New York,USA,Riesling,2016,13.33,White,,91,,,
,,,,,,,,,,,,,,
Pinot Grigio,,,,,,,,,,,,,,
Chambers,Alois Lageder,Vignetti Delle Dolomiti,Dolomiti,Alto Adige,Italy,Pinot Grigio,2017,12,White,LGD100,90,2,,
Winebow,Luna,,Napa,California,USA,Pinot Grigio,2017,10.67,White,LNAPGO17C,89,,,
,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,
Chambers,Inama,Soave Classico,Soave,Veneto,Italy,Garganega,2017,12.67,White,INA150,90,,,
Chambers,Vietti,Arneis,Roero,Langhe,Italy,Arneis,2017,18.33,White,VTT110,91,,6.5,
Chambers,Foxen,Old Vines Ernesto,Santa Maria,California,USA,Chenin,2015,17.33,White,VXN230,90,,,
McCrum,La Staffa,Castelli di Jesi Classico,,Marche,Italy,Verdicchio,2018,12,White,,,,,fun
McCrum,Contrade di Taurasi,Grecomusc,Taurasi,,Italy,Grecomusc,2016,23.33,White,,,,,
Skurnik,Malvira,Roero Arneis,Roero,Langhe,Italy,Arneis,2016,13.33,White,IT-MLV-01-16,88,,,
Skurnik,Spineta,,,Tuscany,Italy,Vermentino,2017,13.33,White,IT-RIT-01-17,92,3,,
Skurnik,Point Ormond,,Upper Goulborn,Victoria,Australia,Marsanne/Roussanne,2015,11.33,White,AU-PTO-01-15,91,5,,
Skurnik,Happs,,Margaret River,Western Australia,Australia,Semillon,2012,13.33,White,AU-HAP-01-12,88,,,
Revel,Savage Grace,Orange Gewurz,Columbia Gorge,Washington,USA,Gewurz,2017,16,White,,88,,,
Winebow,Vinum Cellars,Clarksburg,Sierra Foothills,California,USA,Chenin,2017,9.67,White,VCSCCB17C,91,,,
,,,,,,,,,,,,,,
~~ BUBBLES ~~,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Champagne,,,,,,,,,,,,,,
Chambers,Billecart-Salmon,Brut Reserve,Champagne,Champagne,France,Chardonnay,NV,44.33,Bubbles,BLT100,95,,3,
,,,,,,,,,,,,,,
Prosecco,,,,,,,,,,,,,,
Chambers,Adami,Garbel,Treviso,Veneto,Italy,Glera,NV,11.33,Bubbles,ADM120,92,1,,
,,,,,,,,,,,,,,
Franciacorta,,,,,,,,,,,,,,
Chambers,Vigna Dorata,Brut Rosé,Franciacorta,Franciacorta,Italy,Pinot Noir/Chardonnay,NV,22,Bubbles,DRT110,92,,1,
,,,,,,,,,,,,,,
Lambrusco,,,,,,,,,,,,,,
Chambers,Cleto Chiarli,Vecchia Modena Dry,Sorbara,Emilia-Romagna,Italy,Lambrusco,2016,11.5,Bubbles,CLC310,91,3,,
,,,,,,,,,,,,,,
Sekt,,,,,,,,,,,,,,
Chambers,Dr. Loosen,Estate Sekt,,Mosel,Germany,Riesling,NV,11.33,Bubbles,LSN570,91,2,,
,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,
McCrum,La Staffa,Mai Sentito Petillant Natural,,Marche,Italy,Verdicchio,2018,13.33,Bubbles,,,,,
McCrum,Germano,Nebbiolo Brut Rosana,Piedmont,Langhe,Italy,Nebbiolo,NV,23.33,Bubbles,,,,2,
Skurnik,Messmer,Rosé Brut,,Pfalz,Germany,Pinot Noir,2017,13,Bubbles,DE-MES-65-17L,90,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
~~ RED ~~,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Beaujolais,,,,,,,,,,,,,,
Chambers,Maxime Graillot,En Besset,Beaujolais,Beaujolais,France,Gamay,2016,15,Red,DFA300,90,,1,
Skurnik,Michel Tete,Juliénas Cuvée Tradition,Julienas,Beaujolais,France,Gamay,2016,15,Red,FR-TET-10-16,89,,,
Skurnik,Domaine des Marrans,Beaujolais-Villages,,Beaujolais,France,Gamay,2017,12.67,Red,FR-MAR-01-16,88,,,
,,,,,,, ,,,,,,,
Pinot Noir,,,,,,,,,,,,,,
Chambers,Michel Gros,Haute Cotes de Nuit Fontaine St Martin,Haute Cote de Nuits,Burgundy,France,Pinot Noir,2014,24,Red,JGR750,90,,,
Chambers,CrossBarn,Pinot Noir Sonoma Coast,Sonoma Coast,California,USA,Pinot Noir,2016,27.25,Red,PHB390,92,,,
Chambers,Failla,Lola,Sonoma Coast,California,USA,Pinot Noir,2016,34,Red,FLJ350,93,,,
Chambers,Failla,Hirsch Vineyard,Sonoma Coast,California,USA,Pinot Noir,2016,60,Red,FLJ330,95,,4,
Chambers,Foxen,Pinot Noir Sta Rita,Santa Maria,California,USA,Pinot Noir,2014,25,Red,FXN530,91,,,
Chambers,Foxen,Bien Nacido Block 8,Santa Maria,California,USA,Pinot Noir,2015,43.33,Red,FXN330,96,,,
Chambers,Hilt by Jonata,Old Guard,Sta Rita Hills,California,USA,Pinot Noir,2015,45,Red,HLT310,94,,,
Chambers,La Follette,Sangiacomo Vineyard,Sonoma Coast,California,USA,Pinot Noir,2015,29,Red,FLT350,94,,3,
Chambers,Littorai,The Haven,Sonoma Coast,California,USA,Pinot Noir,2016,65,Red,LTT390,94,,,
Chambers,Mail Road,Blocks 3 & 5,Sta Rita Hills,California,USA,Pinot Noir,2013,70,Red,MRW350,95,,,
Chambers,Peter Michael,Ma Danseuse,Fort Ross-Seaview,California,USA,Pinot Noir,2016,82.22,Red,PMW420,99,,5,
Chambers,Brick House,Les Dijonnais,Ribbon Ridge,Oregon,USA,Pinot Noir,2015,37,Red,BRC330,95,,,
Revel,Land Of Saints,SLO County,San Luis Obispo,California,USA,Pinot Noir,2018,13.33,Red,,90,,,
Winebow,Left Coast Cellars,Cali's Cuvee,Willamette Valley,Oregon,USA,Pinot Noir,2016,16.67,Red,LCCCCP16C,90,2,,
WInebow,Bouchard Pere et Fils,Bourgogne Rouge Reserve,,Burgundy,France,Pinot Noir,2016,15.33,Red,BODBRE16C,90,,2,
Winebow,Le Charmel,Pinot Noir,,Languedoc,France,Pinot Noir,2017,9,Red,LCHPNR17C,87,,,
,,,,,,,,,,,,,,
Bordeaux Blend,,,,,,,,,,,,,,
Chambers,Happy Canyon,Piocho,Santa Barbara,California,USA,Merlot/CS/CF,2013,21.33,Red,HCV340,92,,,
,,,,,,,,,,,,,,
Cabernet Franc,,,,,,,,,,,,,,
Chambers,CrossBarn,Cabernet Franc Moon Mt.,Sonoma Valley,California,USA,Cabernet Franc,2015,36.67,Red,PHB510,92,,6,
Skurnik,Domaine de L'Enchantoir,Le Pied à l'Etrier,,Saumur,France,Cabernet Franc,2016,12,Red,FR-LEN-03-16,90,1,,
Revel,Ravines,,Finger Lakes,New York,USA,Cabernet Franc,2017,15.5,Red,,89,,,
,,,,,,,,,,,,,,
Cabernet Sauvignon,,,,,,,,,,,,,,
Chambers,CrossBarn,Cabernet Sauvignon Sonoma,Sonoma,California,USA,Cabernet Sauvignon,2015,35,Red,PHB460,92,,,
Chambers,Forman,Forman Vineyard,Napa,California,USA,Cabernet Sauvignon,2015,80,Red,FRM300,96,,,
Chambers,Lail,Blueprint,Napa,California,USA,Cabernet Sauvignon,2016,56,Red,LAL400,96,,,
Chambers,Laurel Glen,Sonoma Mtn,Sonoma,California,USA,Cabernet Sauvignon,2008,70,Red,LGV310,95,,,
Chambers,Laurel Glen,Sonoma Mtn,Sonoma,California,USA,Cabernet Sauvignon,2015,33,Red,LGV300,93,,,
Chambers,Ramey,Annum,Napa,California,USA,Cabernet Sauvignon,2014,70,Red,FMY360,95,,,
Winebow,Joullian,Carmel Valley Estate,Carmel Valley,California,USA,Cabernet Sauvignon,2015,23.5,Red,JOUCSC15C,90,,,
Winebow,Cult,,Napa,California,USA,Cabernet Sauvignon,2016,14,Red,CLTCSN16C,90,6,,
,,,,,,,,,,,,,,
Syrah,,,,,,,,,,,,,,
Chambers,Maxime Graillot,Equinoxe,Crozes-Hermitage,N. Rhone,France,Syrah,2016,15,Red,LSS330,90,,7,
Chambers,Failla,Hudson Vineyard,Napa,California,USA,Syrah,2016,39.33,Red,FLJ470,93,,,
Chambers,Foxen,Williamson-Dore Vineyard,Santa Ynez,California,USA,Syrah,2014,33.33,Red,FXN370,93,,,
Chambers,Ramey,Rodgers Creek Vineyard,Sonoma,California,USA,Syrah,2015,46,Red,RMY410,96,,8,
Winebow,Andrew Murray,Tous Les Jours,Santa Ynez,California,USA,Syrah,2016,14,Red,AMVSTJ16C,92,5,,
,,,,,,,,,,,,,,
Grenache,,,,,,,,,,,,,,
Chambers,Barroche,CDP Rouge Signature,CDP,S. Rhone,France,Grenache/Syrah/Mourvèdre,2016,43,Red,BRR300,95,,,
Chambers,Beaurenard,CDP Rouge,CDP,S. Rhone,France,Grenache/Syrah/Mourvèdre,2015,36,Red,BRN300,94,,10,
Chambers,Foxen,Cuvee Jeanne Marie,Santa Ynez,California,USA,Grenache/Syrah/Mourvèdre,2014,28.67,Red,FXN510,91,,,
Chambers,L'Aventure,Cote a Cote,Paso,California,USA,Grenache/Syrah/Mourvèdre,2016,72,Red,FAV350,98,,,
Winebow,Domaine du Pegau,Cuvée Maclura,CdR,Côtes du Rhone,France,Grenache/Syrah/Mourvèdre,2015,15,Red,PGUMAC15C,90,4,,
Winebow,Couroulu,Cuvee Classique,Vacqueryas,S. Rhone,France,Grenache/Syrah/Mourvèdre,2015,18,Red,DCUVCC15C,92,,9,
,,,,,,,,,,,,,,
Malbec,,,,,,,,,,,,,,
Chambers,Crocus,Le Calcifiere,Cahors,Cahors,France,Malbec,2014,30,Red,CRO300,92,,,
,,,,,,,,,,,,,,
Nebbiolo,,,,,,,,,,,,,,
Chambers,Oberto,Barolo,Barolo,Langhe,Italy,Nebbiolo,2013,31.33,Red,OBR320,92,,14,
Chambers,Oberto,Brunate,Barolo,Langhe,Italy,Nebbiolo,2012,70,Red,OBR330,96,,,
McCrum,Balgera,Grumello,Valtellina,Lombardy,Italy,Nebbiolo,2004,25,Red,,,,,
,,,,,,,,,,,,,,
Sangiovese,,,,,,,,,,,,,,
Chambers,Casanova di Neri,White Label,Brunello,Tuscany,Italy,Sangiovese,2013,45,Red,CDN350,94,,,
Chambers,Casanova di Neri,Tenuta Nuova,Brunello,Tuscany,Italy,Sangiovese,2013,77,Red,CDN340,98,,,
Chambers,Piancornello,Brunello,Brunello,Tuscany,Italy,Sangiovese,2013,35,Red,PNC320,96,,11,
Chambers,Fattoria Selvapiana,Chianti Rufina,Chianti Rufina,Tuscany,Italy,Sangiovese,2015,16,Red,SLV300,92,3,,
,,,,,,,,,,,,,,
Zinfandel,,,,,,,,,,,,,,
Chambers,Easton,Old Vine Rinaldi,Sierra Foothills,California,USA,Zinfandel,2012,26.5,Red,EST430,93,,,
Chambers,Mauritson,Dry Creek Valley,Dry Creek,California,USA,Zinfandel,2015,21.33,Red,MRT400,93,,12,
,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,
Chambers,Uliz,Ascendance,Savoie,Savoie,France,Mondeuse,2012,26.67,Red,ULZ510,91,,,syrah-ish
Chambers,Vietti,Scarrone,Alba,Langhe,Italy,Barbera,2016,31.33,Red,VTT440,93,,,
Chambers,Bonny Doon,Cigare Volant,Central Coast,California,USA,Grenache/Syrah/Mourvèdre,2012,33.33,Red,BND300,91,,,
Skurnik,Graillot & Raul Perez,Bierzo Encinas,,Bierzo,Spain,Mencia,2017,20,Red,ES-GRP-01-17,94,,13,"berry, floral, earthy"
Winebow,Cortese,Barbera d'Alba,Alba,Langhe,Italy,Barbera,2016,13,Red,CRSBDA16C,88,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
~~ ROSÉ ~~,,,,,,,,,,,,,,
Chambers,Liquid Farm,Vogelzang Vineyard,Central Coast,California,USA,Mourvèdre,2016,18.5,Rosé,LQF200,91,,1,
Chambers,Quivira,Rosé,Dry Creek,California,USA,Grenache/Syrah/Mourvèdre,2017,15.33,Rosé,QVR130,91,,,
Skurnik,Lieu Dit,Santa Barbara Rosé,Santa Barbara,California,USA,Pinot Noir,2017,16.5,Rosé,US-LUD-01-18,92,,,
Revel,Smockshop Band,Ephemeral,Columbia Gorge,Oregon,USA,Grenache,2018,11.5,Rosé,,,1,,natty
Revel,Pax Mahle,,Russian River Valley,California,USA,Trousseau Gris,2018,15,Rosé,,,3,,natty?
Revel,Cep,,Russian River Valley,California,USA,Pinot Noir,2018,16,Rosé,,90,2,,
Revel,Young Inglewood,Vin Clair,Napa,California,USA,Malbec/Merlot,2017,16,Rosé,,93,,2,
Winebow,Lumen,Starry Rosé,Santa Maria,California,USA,Grenache/Pinot Noir,2018,16,Rosé,LUMRSE18C,91,,,
Winebow,Joullian,Rosé,Monterey,California,USA,,2018,13.5,Rosé,JOUROE18C,88,,,
Winebow,Domaine du Pegau,Pink Rosé,CdR,S. Rhone,France,Cinsault/Grenache,2018,14,Rosé,PGUPPR18C,91,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
~~ DESSERT ~~,,,,,,,,,,,,,,
Chambers,Vignalta,Fior d'Arancio,Veneto,Veneto,Italy,Orange Muscat,2015,14,Dessert,,,,,
Chambers,Vietti,Cascienneta Vietti,Asti,Langhe,Italy,Moscato,2017,12,Dessert,VTT220,92,,,
Chambers,Badia,Vin Santo,Chianti,Tuscany,Italy,Trebbiano,2010,32,Dessert,CLT370,,,,
Chambers,Jonata,Le Miel,Santa Ynez,California,USA,Semillon,NV,30,Dessert,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Madeira,,,,,,,,,,,,,,
Chambers,Cossart Gordon,15 Year Bual,,Madeira,Portugal,Bual,NV,35,Madeira,CSS420,,,,
Chambers,Cossart Gordon,1962 Bual,,Madeira,Portugal,Bual,1962,250,Madeira,CSS420,,,,
Chambers,Cossart Gordon,1987 Bual,,Madeira,Portugal,Bual,1987,145,Madeira,CSS420,,,,
,,,,,,,,,,,,,,
Armagnac,,,,,,,,,,,,,,
Chambers,Boingneres,2001 Folle Blanche,Bas-Armagnac,Gascony,France,Folle Blanche,2001,129,Armagnac,CNL320,,,,
Chambers,Pellehaut,1994 Armagnac,Haut-Armagnac,Gascony,France,Ugni Blanc,1994,68,Armagnac,CNL810,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Calvados,,,,,,,,,,,,,,
Chambers,Lemorton,Reserve 6-year,Domfrontais,Calvados,France,,NV,50,Calvados,CNL900,,,,
Chambers,Lemorton,1987 Vintage,Domfrontais,Calvados,France,,1987,130,Calvados,CNL930,,,,
Chambers,Huard,Hors d'Age,Caligny,Calvados,France,,NV,61.67,Calvados,CNL730,,,,
Chambers,Huard,1999 Vintage,Caligny,Calvados,France,,1999,83,Calvados,CNL730,,,,
,,,,,,,,,,,,,,
Cognac,,,,,,,,,,,,,,
Chambers,Dudognon,Reserve 10-year,Grande Champagne,Gascony,France,,NV,41,Cognac,CNL550,,,,
Chambers,Dudognon,Vielle Reserve 20,Grande Champagne,Gascony,France,,20-year,81,Cognac,CNL510,,,,